Default,Client,KEYWORDS,CONTAIN_LIST,CONTAIN_CATEGORY,EXCEPT_LIST,EXCEPT_CATEGORY
2,,Fire Stop,,,Edition; English; Shoe; Saffire,
2,,Firestop,,,Edition; English; Shoe; Saffire,
3,Kart Rocket,Sample,,,,
4,,Dashboard,Shiner; Ml,,,
5,,Sharbat,,,,
5,,Sandhi sudha,,,,
5,,Panchgavya Medicines,,,,
5,,Cologne,,,,
5,,Aerosol,,,,
5,,Cleanser,,,," Shoes and footwear; Apparel and Accessories; Books, Software and E-learning"
5,,Syrup,,,,
5,,Biotique,,,,
5,,Sunscreen SPF 30 75 ml,,,,
5,,Cocoa Nourish body lotion 200 ml,,,,
5,,Sensitive whitening deo 150 ml,,,,
5,,Soft 25 ml,,,,
5,,Cherry Lip 4.8g,,,,
5,,Soap 75 gm pack of 4+1,,,,
5,,Refreshing Face Wash 150ml,,,,
5,,Dove Go Fresh Face Wash 50 g,,,,
5,,Dove Daily Shine Conditioner 180 ml,,,,
5,,Dove Daily Shine Shampoo 340 ml,,,,
5,,Dove Go Fresh Body Lotion 250 ml,,,,
5,,Dove Cream Beauty Bathing Bar 3x100 g,,,,
5,,Tresemme Hair Spa rejuvenation Conditioner : 200ml,,,,
5,,Tresemme Hair Spa rejuvenation Shampoo : 580ml,,,,
5,,Lakme Eyeconic Kajal 0.35g,,,,
5,,Lakme CC Cream 30ml,,,,
5,,Nivea,,,Flipside,
5,,Shampoo,,,Cap; Hat; Shield,
5,,Sunscreen,,,,
5,,Serum,,,,
5,,Vlcc,,,Holder,
404,,Pest,Controller,,Machine,
404,,Capsules,,,,
404,,Nutrition,,Beauty Products and Personal Care; Baby Care;Uncategorized;Health and Wellness,,
404,,Nutricare,,Beauty Products and Personal Care; Baby Care;Uncategorized;Health and Wellness,,
404,,lbs,,,,
404,,Whey Protein,,,,
404,,PowerBank,,,,
404,,Power bank,,,,
404,,brut,,,,
404,,mah,,,,
